"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySize"
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,20,145.614550,4.639178,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,20,10.537790,0.463142,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,20,0.501328,0.135762,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,20,163.863200,0.897938,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,20,0.726022,0.053524,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,20,0.013647,0.000493,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,20,603.795651,6.756382,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,20,67.925396,8.424289,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,20,6.149957,0.641180,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,20,217.176316,2.324519,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,20,15.154845,0.581407,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,20,0.433595,0.127357,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,20,191.896903,1.207087,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,20,0.928026,0.009505,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,20,0.006623,0.000156,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,20,584.666934,2.580894,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,20,44.688236,0.141471,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,20,2.767728,0.061790,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,20,151.600922,8.365626,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,20,11.373616,0.528017,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,20,0.392871,0.090365,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,20,255.223167,2.768882,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,20,0.929426,0.048522,"ops/s",1000000
