"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: arraySize"
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,20,161.734073,8.729007,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,20,12.516128,0.452219,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,20,0.221042,0.088618,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,20,104.872396,6.392393,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,20,0.512504,0.006230,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleContains","thrpt",1,20,0.013905,0.000217,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,20,334.926127,39.891654,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,20,21.599590,0.145589,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleDoubleHashcode","thrpt",1,20,5.047132,0.359632,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,20,278.035646,8.853854,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,20,17.856869,0.542466,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntAppend","thrpt",1,20,0.196870,0.043135,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,20,120.866238,2.125669,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,20,0.401081,0.052132,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntContains","thrpt",1,20,0.004792,0.000174,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,20,391.450862,10.666738,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,20,15.299125,0.096874,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleIntHashcode","thrpt",1,20,1.670871,0.294668,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,20,171.523729,9.236548,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,20,12.618131,0.758654,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongAppend","thrpt",1,20,0.173409,0.069200,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,20,111.702828,1.182589,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,20,0.402869,0.012195,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongContains","thrpt",1,20,0.004212,0.000231,"ops/s",10000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,20,360.151841,3.740145,"ops/s",100000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,20,19.207214,1.880486,"ops/s",1000000
"org.tastytruffle.benchmarks.ListBenchmark.benchmarkTruffleLongHashcode","thrpt",1,20,1.640789,0.117629,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,20,187.060110,9.032936,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,20,9.434597,0.821867,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleAppend","thrpt",1,20,0.895269,0.017454,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,20,361.269991,2.341844,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,20,2.664633,0.029221,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleContains","thrpt",1,20,0.026192,0.002626,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,20,4622.393543,4.307838,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,20,50.740002,0.789568,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleDoubleReverse","thrpt",1,20,4.769589,0.330840,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,20,326.262861,6.718390,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,20,13.917445,0.426773,"ops/s",1000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntAppend","thrpt",1,20,1.178228,0.019757,"ops/s",10000000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntContains","thrpt",1,20,443.028476,0.665723,"ops/s",100000
"org.tastytruffle.benchmarks.ResizableArrayBenchmark.benchmarkTruffleIntContains","thrpt",1,20,5.380393,0.093727,"ops/s",1000000
